,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
707,14,1991,Rome,Norway,Just 4 Fun,Mrs. Thompson,14,17th,,,,,,,,,,,,,,
708,15,1991,Rome,Israel,Duo Datz,Kan,139,3rd,,,,,,,,,,,,,,
709,16,1991,Rome,Finland,Kaija,Hullu Yö,6,20th,,,,,,,,,,,,,,
710,17,1991,Rome,Germany,Atlantis 2000,Dieser Traum Darf Niemals Sterben,10,18th,,,,,,,,,,,,,,
711,18,1991,Rome,Belgium,Clouseau,Geef Het Op,23,16th,5fg5IGz0xl2WhsLTvkbJ1h,0.5,0.779,4.0,-9.175,1.0,0.044000000000000004,0.8809999999999999,0.000226,0.762,0.48700000000000004,140.377,171307.0,4.0
712,19,1991,Rome,Spain,Sergio Dalma,Bailar Pegados,119,4th,4GT9T7iVVwrc84GEiArtDi,0.504,0.637,0.0,-5.874,1.0,0.0302,0.561,0.0,0.228,0.212,143.945,272853.0,4.0
713,20,1991,Rome,United Kingdom,Samantha Janus,A Message To Your Heart,47,10th,,,,,,,,,,,,,,
714,21,1991,Rome,Cyprus,Elena Patroclou,S.o.s.,60,9th,,,,,,,,,,,,,,
715,22,1991,Rome,Italy,Peppino di Capri,Comme E' Ddoce 'o Mare,89,7th,,,,,,,,,,,,,,
716,1,1990,Zagreb,Spain,Azúcar Moreno,Bandido,96,5th,2rHhKu1hW8uqyr7LSrRn8E,0.735,0.8170000000000001,1.0,-8.595,1.0,0.036000000000000004,0.0414,5.14e-06,0.8059999999999999,0.799,127.912,182867.0,4.0
717,2,1990,Zagreb,Greece,Christos Callow and Wave,Horis Skopo,11,19th,,,,,,,,,,,,,,
718,3,1990,Zagreb,Belgium,Philippe Lafontaine,Macédomienne,46,12th,2B7ZnHMgayT9EEV5qN2YqV,0.685,0.63,9.0,-7.207999999999999,0.0,0.0287,0.44299999999999995,1.0199999999999999e-05,0.34600000000000003,0.462,125.936,170284.0,4.0
719,4,1990,Zagreb,Turkey,Kayahan,Gözlerinin Hapsindeyim,21,17th,7B35SoCqYSOKiea23ZJ3QK,0.643,0.648,4.0,-12.450999999999999,0.0,0.0313,0.0587,0.0,0.102,0.828,96.18700000000001,172133.0,3.0
720,5,1990,Zagreb,The Netherlands,Maywood,Ik Wil Alles Met Je Delen,25,15th,3tT3SWijd6qYXbrcpFZLp7,0.5579999999999999,0.457,7.0,-12.892999999999999,0.0,0.0379,0.539,0.0,0.239,0.29600000000000004,142.30700000000002,200827.0,4.0
721,6,1990,Zagreb,Luxembourg,Céline Carzo,Quand Je Te Rêve,38,13th,,,,,,,,,,,,,,
722,7,1990,Zagreb,United Kingdom,Emma,Give A Little Love Back To The World,87,6th,,,,,,,,,,,,,,
723,8,1990,Zagreb,Iceland,Stjórnin,Eitt Lag Enn,124,4th,60RuosVixhawXh4M3fDq5y,0.609,0.623,5.0,-12.280999999999999,1.0,0.0299,0.195,4.07e-05,0.371,0.867,148.236,174986.0,4.0
724,9,1990,Zagreb,Norway,Ketil Stokkan,Brandenburger Tor,8,21st,0HQOUiYrcwv9B1RVd7bZBJ,0.638,0.7390000000000001,0.0,-4.71,1.0,0.0263,0.14300000000000002,0.0,0.16699999999999998,0.591,120.006,197667.0,4.0
725,10,1990,Zagreb,Israel,Rita,Shara Barechovot,16,18th,,,,,,,,,,,,,,
726,11,1990,Zagreb,Denmark,Lonnie Devantier,Hallo Hallo,64,8th,,,,,,,,,,,,,,
727,12,1990,Zagreb,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,51,11th,,,,,,,,,,,,,,
728,13,1990,Zagreb,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,60,9th,,,,,,,,,,,,,,
729,14,1990,Zagreb,France,Joelle Ursull,White And Black Blues,132,2nd,3HhfRcXBX92mnDzXwKt7Bg,0.5710000000000001,0.8540000000000001,4.0,-11.857000000000001,1.0,0.0509,0.262,0.00264,0.42200000000000004,0.679,195.02900000000002,180667.0,3.0
730,15,1990,Zagreb,Yugoslavia,Tajci,Hajde Da Ludujemo,81,7th,2jEBdBbgODqNlhpv4DlXlv,0.7190000000000001,0.94,3.0,-3.0039999999999996,1.0,0.0454,0.40399999999999997,0.000171,0.0935,0.95,130.251,182920.0,4.0
731,16,1990,Zagreb,Portugal,Nucha,Há Sempre Alguém,9,20th,,,,,,,,,,,,,,
732,17,1990,Zagreb,Ireland,Liam Reilly,Somewhere In Europe,132,2nd,0Gh3TzuQuHEtZEamtv96LA,0.649,0.508,0.0,-9.748,1.0,0.0268,0.0704,0.0,0.284,0.491,92.021,189560.0,4.0
733,18,1990,Zagreb,Sweden,Edin-Ådahl,Som En Vind,24,16th,,,,,,,,,,,,,,
734,19,1990,Zagreb,Italy,Toto Cutugno,Insieme: 1992,149,1st,44noNMO0iv87Tds7dwcpQU,0.7879999999999999,0.708,10.0,-6.124,1.0,0.0283,0.084,0.0,0.12,0.516,100.149,263903.0,4.0
735,20,1990,Zagreb,Austria,Simone,Keine Mauern Mehr,58,10th,,,,,,,,,,,,,,
736,21,1990,Zagreb,Cyprus,Haris Anastasiou,Milas Poli,36,14th,,,,,,,,,,,,,,
737,22,1990,Zagreb,Finland,Beat,Fri?,8,21st,,,,,,,,,,,,,,
738,1,1989,Lausanne,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,56,9th,,,,,,,,,,,,,,
739,2,1989,Lausanne,Israel,Gili ve Galit,Derech Ha'melech,50,12th,,,,,,,,,,,,,,
740,3,1989,Lausanne,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,21,18th,,,,,,,,,,,,,,
741,4,1989,Lausanne,The Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,45,15th,,,,,,,,,,,,,,
742,5,1989,Lausanne,Turkey,Pan,Bana Bana,5,21st,,,,,,,,,,,,,,
743,6,1989,Lausanne,Belgium,Ingeborg,Door De Wind,13,19th,5eAOvEd5GqKdRTgNYsAAmW,0.6679999999999999,0.48700000000000004,1.0,-10.454,1.0,0.0292,0.485,0.0,0.0744,0.621,126.95299999999999,179000.0,4.0
744,7,1989,Lausanne,United Kingdom,Live Report,Why Do I Always Get It Wrong,130,2nd,,,,,,,,,,,,,,
745,8,1989,Lausanne,Norway,Britt Synnøve Johansen,Venners Nærhet,30,17th,,,,,,,,,,,,,,
746,9,1989,Lausanne,Portugal,Da Vinci,Conquistador,39,16th,,,,,,,,,,,,,,
747,10,1989,Lausanne,Sweden,Tommy Nilsson,En Dag,110,4th,5Cmwme624iKaqaSKTLcBWP,0.573,0.862,1.0,-5.666,1.0,0.0415,0.11800000000000001,0.0,0.228,0.6890000000000001,94.92,198813.0,4.0
748,11,1989,Lausanne,Luxembourg,Park Café,Monsieur,8,20th,,,,,,,,,,,,,,
749,12,1989,Lausanne,Denmark,Birthe Kjær,Vi Maler Byen Rød,111,3rd,5R7qlPnCh9qVEtNaHIyPvh,0.594,0.871,5.0,-3.5069999999999997,1.0,0.0403,0.486,0.0,0.34299999999999997,0.7609999999999999,92.402,176333.0,4.0
750,13,1989,Lausanne,Austria,Thomas Forstner,Nur Ein Lied,97,5th,,,,,,,,,,,,,,
751,14,1989,Lausanne,Finland,Anneli Saaristo,La Dolce Vita,76,7th,,,,,,,,,,,,,,
752,15,1989,Lausanne,France,Nathalie Pâque,J'ai Volé La Vie,60,8th,,,,,,,,,,,,,,
753,16,1989,Lausanne,Spain,Nina,Nacida Para Amar,88,6th,4HwxlORY1QAe12WtiglWt6,0.34,0.439,7.0,-8.075,1.0,0.0294,0.7979999999999999,0.0,0.0991,0.165,85.39200000000001,180813.0,4.0
754,17,1989,Lausanne,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,51,11th,,,,,,,,,,,,,,
755,18,1989,Lausanne,Switzerland,Furbaz,Viver Senza Tei,47,13th,6y1hjHbuaVrbTIjm3Chb8T,0.526,0.42200000000000004,4.0,-9.249,1.0,0.0344,0.755,0.0,0.11699999999999999,0.276,104.876,264040.0,4.0
756,19,1989,Lausanne,Greece,Marianna,To Diko Sou Asteri,56,9th,,,,,,,,,,,,,,
757,20,1989,Lausanne,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,—,22nd,,,,,,,,,,,,,,
758,21,1989,Lausanne,Germany,Nino de Angelo,Flieger,46,14th,6tCCYPNXR8e3CeD1fsg5Lu,0.605,0.8190000000000001,0.0,-5.2379999999999995,1.0,0.0385,0.00778,0.0,0.0833,0.777,117.038,189920.0,4.0
759,22,1989,Lausanne,Yugoslavia,Riva,Rock Me,137,1st,,,,,,,,,,,,,,
760,1,1988,Dublin,Iceland,Beathoven,Sókrates,20,16th,,,,,,,,,,,,,,
761,2,1988,Dublin,Sweden,Tommy Körberg,Stad I Ljus,52,12th,7bVwUOySQGO2afJ0LArAMi,0.375,0.425,7.0,-9.437999999999999,1.0,0.0294,0.687,0.00022999999999999998,0.248,0.18600000000000003,143.16899999999998,188293.0,4.0
762,3,1988,Dublin,Finland,Boulevard,Nauravat Silmät Muistetaan,3,20th,,,,,,,,,,,,,,
763,4,1988,Dublin,United Kingdom,Scott Fitzgerald,Go,136,2nd,,,,,,,,,,,,,,
764,5,1988,Dublin,Turkey,MFÖ,Sufi (hey Ya Hey),37,15th,,,,,,,,,,,,,,
765,6,1988,Dublin,Spain,La Década,La Chica Que Yo Quiero (made In Spain),58,11th,,,,,,,,,,,,,,
766,7,1988,Dublin,The Netherlands,Gerard Joling,Shangri-la,70,9th,,,,,,,,,,,,,,
767,8,1988,Dublin,Israel,Yardena Arazi,Ben Adam,85,7th,,,,,,,,,,,,,,
768,9,1988,Dublin,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,137,1st,0Kv4i96E41jbULmUajBYOe,0.491,0.657,5.0,-5.757999999999999,1.0,0.0275,0.225,0.0,0.361,0.322,144.279,186240.0,4.0
769,10,1988,Dublin,Ireland,Jump the Gun,Take Him Home,79,8th,,,,,,,,,,,,,,
770,11,1988,Dublin,Germany,Maxi and Chris Garden,Lied Für Einen Freund,48,14th,,,,,,,,,,,,,,
771,12,1988,Dublin,Austria,Wilfried,Lisa Mona Lisa,—,21st,,,,,,,,,,,,,,
772,13,1988,Dublin,Denmark,Hot Eyes,Ka' Du Se Hva' Jeg Sa',92,3rd,,,,,,,,,,,,,,
773,14,1988,Dublin,Greece,Aphroditi Fryda,Kloun,10,17th,,,,,,,,,,,,,,
774,15,1988,Dublin,Norway,Karoline Krüger,For Vår Jord,88,5th,6GyfAKisndo4YbOZ9K2NmB,0.613,0.368,9.0,-13.440999999999999,1.0,0.0294,0.623,0.0,0.084,0.386,140.005,184007.0,4.0
775,16,1988,Dublin,Belgium,Reynaert,Laissez Briller Le Soleil,5,18th,,,,,,,,,,,,,,
776,17,1988,Dublin,Luxembourg,Lara Fabian,Croire,90,4th,,,,,,,,,,,,,,
777,18,1988,Dublin,Italy,Luca Barbarossa,Ti Scrivo,52,12th,,,,,,,,,,,,,,
778,19,1988,Dublin,France,Gérard Lenorman,Chanteur De Charme,64,10th,6tO8muTRnYClI8hhcTzn8u,0.636,0.789,2.0,-9.117,1.0,0.0339,0.305,0.0,0.348,0.7040000000000001,120.88799999999999,249560.0,4.0
779,20,1988,Dublin,Portugal,Dora,Voltarei,5,18th,,,,,,,,,,,,,,
780,21,1988,Dublin,Yugoslavia,Srebrna Krila,Mangup,87,6th,,,,,,,,,,,,,,
781,1,1987,Brussels,Norway,Kate Gulbrandsen,Mitt Liv,65,9th,3k5OROWCO1y95A0kbzB1U3,0.48700000000000004,0.627,1.0,-7.7860000000000005,1.0,0.0326,0.525,0.0,0.35600000000000004,0.502,166.702,183771.0,4.0
782,2,1987,Brussels,Israel,Datner and Kushnir,Shir Habatlanim,73,8th,,,,,,,,,,,,,,
783,3,1987,Brussels,Austria,Gary Lux,Nur Noch Gefühl,8,20th,,,,,,,,,,,,,,
784,4,1987,Brussels,Iceland,Halla Margarét,Hægt Og Hljótt,28,16th,,,,,,,,,,,,,,
785,5,1987,Brussels,Belgium,Liliane Saint-Pierre,Soldiers Of Love,56,11th,6s6kTSOh76tC2litBaxcCx,0.56,0.466,0.0,-6.465,0.0,0.0385,0.865,0.0,0.113,0.324,122.199,231749.0,4.0
786,6,1987,Brussels,Sweden,Lotta Engberg,Boogaloo,50,12th,,,,,,,,,,,,,,
787,7,1987,Brussels,Italy,Umberto Tozzi and Raf,Gente Di Mare,103,3rd,,,,,,,,,,,,,,
788,8,1987,Brussels,Portugal,Nevada,Neste Barco à Vela,15,18th,,,,,,,,,,,,,,
789,9,1987,Brussels,Spain,Patricia Kraus,No Estás Solo,10,19th,,,,,,,,,,,,,,
790,10,1987,Brussels,Turkey,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne,—,22nd,,,,,,,,,,,,,,
791,11,1987,Brussels,Greece,Bang,Stop!,64,10th,,,,,,,,,,,,,,
792,12,1987,Brussels,The Netherlands,Marcha,Rechtop In De Wind,83,5th,4rFhc427aocb0JIGGHeAO2,0.657,0.619,10.0,-8.695,1.0,0.0275,0.136,0.0,0.14800000000000002,0.493,129.98,184440.0,4.0
793,13,1987,Brussels,Luxembourg,Plastic Bertrand,Amour Amour,4,21st,,,,,,,,,,,,,,
794,14,1987,Brussels,United Kingdom,Rikki,Only The Light,47,13th,,,,,,,,,,,,,,
795,15,1987,Brussels,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,44,14th,,,,,,,,,,,,,,
796,16,1987,Brussels,Germany,Wind,Laß Die Sonne In Dein Herz,141,2nd,7sMd8AmgwoHgw674d2oQgB,0.7759999999999999,0.677,6.0,-6.853,1.0,0.0427,0.10800000000000001,0.0,0.0426,0.97,93.021,185840.0,4.0
797,17,1987,Brussels,Cyprus,Alexia,Aspro Mavro,80,7th,4bbB2U69LgoO2DeagGB3Ge,0.569,0.9129999999999999,10.0,-3.339,1.0,0.0455,0.26,6.42e-05,0.39299999999999996,0.7290000000000001,133.349,166000.0,4.0
798,18,1987,Brussels,Finland,Vicky Rosti,Sata Salamaa,32,15th,,,,,,,,,,,,,,
799,19,1987,Brussels,Denmark,Anne-Catherine Herdorf and Bandjo,En Lille Melodi,83,5th,,,,,,,,,,,,,,
800,20,1987,Brussels,Ireland,Johnny Logan,Hold Me Now,172,1st,482pOo6IOI0qNNHxkQFEDn,0.517,0.27699999999999997,5.0,-12.892000000000001,1.0,0.0353,0.716,0.0,0.578,0.281,74.839,173813.0,4.0
801,21,1987,Brussels,Yugoslavia,Novi Fosili,Ja Sam Za Ples,92,4th,5DgmemtjCB3OHNDlJENgtu,0.732,0.8640000000000001,7.0,-7.356,1.0,0.042,0.302,0.0,0.364,0.985,144.906,145667.0,4.0
802,22,1987,Brussels,Switzerland,Carole Rich,Moitié Moitié,26,17th,,,,,,,,,,,,,,
803,1,1986,Bergen,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,117,3rd,,,,,,,,,,,,,,
804,2,1986,Bergen,Yugoslavia,Doris Dragovic,Zeljo Moja,49,11th,0ejYGCY0wvDi8je2S4z7Em,0.65,0.623,3.0,-6.528,1.0,0.0363,0.138,0.0,0.342,0.295,111.943,176707.0,4.0
805,3,1986,Bergen,France,Cocktail Chic,Européennes,13,17th,,,,,,,,,,,,,,
806,4,1986,Bergen,Norway,Ketil Stokkan,Romeo,44,12th,,,,,,,,,,,,,,
807,5,1986,Bergen,United Kingdom,Ryder,Runner In The Night,72,7th,,,,,,,,,,,,,,
808,6,1986,Bergen,Iceland,Icy,Gleðibankinn,19,16th,1xw7xAG14MHKXnRoAduLn3,0.691,0.755,4.0,-8.368,1.0,0.0368,0.0803,0.0,0.0774,0.562,133.108,183113.0,4.0
809,7,1986,Bergen,The Netherlands,Frizzle Sizzle,Alles Heeft Ritme,40,13th,3RJ6NDZxwX8fFUMrEdlpW4,0.711,0.833,9.0,-10.39,1.0,0.0708,0.325,0.00033,0.152,0.9209999999999999,77.711,181173.0,4.0
810,8,1986,Bergen,Turkey,Klips ve Onlar,Halley,53,9th,,,,,,,,,,,,,,
811,9,1986,Bergen,Spain,Cadillac,Valentino,51,10th,,,,,,,,,,,,,,
812,10,1986,Bergen,Switzerland,Daniela Simons,Pas Pour Moi,140,2nd,,,,,,,,,,,,,,
813,11,1986,Bergen,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,7,19th,,,,,,,,,,,,,,
814,12,1986,Bergen,Ireland,Luv Bug,You Can Count On Me,96,4th,,,,,,,,,,,,,,
815,13,1986,Bergen,Belgium,Sandra Kim,J'aime La Vie,176,1st,5opXus6JIe9UD94Qk24RYB,0.594,0.8109999999999999,2.0,-5.9110000000000005,1.0,0.0319,0.284,0.0,0.0998,0.6679999999999999,139.112,184088.0,4.0
816,14,1986,Bergen,Germany,Ingrid Peters,Über Die Brücke Geh'n,62,8th,4quJ42jnWEbwC9vEtZoLir,0.5760000000000001,0.85,8.0,-4.499,1.0,0.0266,0.0774,0.0,0.304,0.645,139.888,170293.0,4.0
817,15,1986,Bergen,Cyprus,Elpida,Tora Zo,4,20th,,,,,,,,,,,,,,
818,16,1986,Bergen,Austria,Timna Brauer,Die Zeit Ist Einsam,12,18th,,,,,,,,,,,,,,
819,17,1986,Bergen,Sweden,Lasse Holm and Monica Törnell,E' De' Det Här Du Kallar Kärlek,78,5th,,,,,,,,,,,,,,
820,18,1986,Bergen,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,77,6th,,,,,,,,,,,,,,
821,19,1986,Bergen,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,22,15th,19uTgpvkvKLMaLsjeC9EFr,0.358,0.34700000000000003,2.0,-9.806000000000001,1.0,0.0282,0.809,0.00413,0.28800000000000003,0.263,137.94299999999998,186786.0,4.0
822,20,1986,Bergen,Portugal,Dora,Não Sejas Mau Para Mim,28,14th,,,,,,,,,,,,,,
823,1,1985,Gothenburg,Ireland,Maria Christian,Wait Until The Weekend Comes,91,6th,3W7fbcyAPR7RG6keSrBGGl,0.37799999999999995,0.711,3.0,-6.275,1.0,0.0544,0.691,4.8200000000000006e-05,0.9690000000000001,0.27399999999999997,119.381,195370.0,4.0
824,2,1985,Gothenburg,Finland,Sonja Lumme,Eläköön Elämä,58,9th,23rmSHMjt1L9JpnCoLOBj7,0.75,0.708,2.0,-9.071,0.0,0.0465,0.442,2.49e-05,0.324,0.858,138.382,169373.0,4.0
825,3,1985,Gothenburg,Cyprus,Lia Vishy,To Katalava Arga,15,16th,,,,,,,,,,,,,,
826,4,1985,Gothenburg,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,41,11th,,,,,,,,,,,,,,
827,5,1985,Gothenburg,Spain,Paloma San Basilio,La Fiesta Terminó,36,14th,5e4RkP8WDAiZHH0jeVBO3B,0.467,0.474,5.0,-4.769,1.0,0.0266,0.574,0.0,0.353,0.375,79.98899999999999,206280.0,4.0
828,6,1985,Gothenburg,France,Roger Bens,Femme Dans Ses Rêves Aussi,56,10th,1wlczVgzFWQ1fVcnTOs5ub,0.39299999999999996,0.878,5.0,-5.367000000000001,0.0,0.251,0.6679999999999999,6.6e-06,0.97,0.782,157.486,184993.0,4.0
829,7,1985,Gothenburg,Turkey,MFÖ,Di Dai Di Dai Dai (a'sik Oldum),36,14th,,,,,,,,,,,,,,
830,8,1985,Gothenburg,Belgium,Linda Lepomme,Laat Me Nu Gaan,7,19th,6UkYDk7TbcBfO4uorMksKd,0.268,0.735,2.0,-7.13,0.0,0.0918,0.83,3.87e-06,0.9520000000000001,0.418,128.477,187667.0,4.0
831,9,1985,Gothenburg,Portugal,Adelaïde,"Penso Em Ti, Eu Sei",9,18th,4t8WHQwvHSOXSYnqY9LCo7,0.215,0.703,0.0,-7.261,1.0,0.106,0.7440000000000001,0.0,0.971,0.35100000000000003,80.161,202796.0,4.0
832,10,1985,Gothenburg,Germany,Wind,Für Alle,105,2nd,,,,,,,,,,,,,,
833,11,1985,Gothenburg,Israel,Izhar Cohen,Olé Olé,93,5th,,,,,,,,,,,,,,
834,12,1985,Gothenburg,Italy,Al Bano and Romina Power,"Magic, Oh Magic",78,7th,1ZsBfH9s7SlmJ5XvX33Lb5,0.405,0.726,5.0,-5.756,1.0,0.0641,0.16,0.0,0.978,0.513,120.697,737507.0,4.0
835,13,1985,Gothenburg,Norway,Bobbysocks,La Det Swinge,123,1st,1D5JiCspnkQx8L57R3qpAb,0.603,0.747,6.0,-9.7,1.0,0.0851,0.604,0.0,0.161,0.436,137.286,176213.0,4.0
836,14,1985,Gothenburg,United Kingdom,Vikki,Love Is...,100,4th,,,,,,,,,,,,,,
837,15,1985,Gothenburg,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,39,12th,,,,,,,,,,,,,,
838,16,1985,Gothenburg,Sweden,Kikki Danielsson,Bra Vibrationer,103,3rd,0NOLQCkOO2wgEaUR5y1ahK,0.529,0.637,0.0,-6.356,1.0,0.0368,0.49,0.0,0.105,0.795,191.4,186493.0,4.0
839,17,1985,Gothenburg,Austria,Gary Lux,Kinder Dieser Welt,60,8th,4MeBZoCY7TBtMUj3TXOnwx,0.6679999999999999,0.867,9.0,-2.9219999999999997,1.0,0.03,0.292,0.0,0.157,0.898,121.939,178976.0,4.0
840,18,1985,Gothenburg,Luxembourg,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts","Children, Kinder, Enfants",37,13th,,,,,,,,,,,,,,
841,19,1985,Gothenburg,Greece,Takis Biniaris,Miazoume,15,16th,,,,,,,,,,,,,,
842,1,1984,Luxembourg,Sweden,Herrey's,Diggi-loo Diggy-ley,145,1st,,,,,,,,,,,,,,
843,2,1984,Luxembourg,Luxembourg,Sophie Carle,100% D'amour,39,10th,,,,,,,,,,,,,,
844,3,1984,Luxembourg,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,61,8th,,,,,,,,,,,,,,
845,4,1984,Luxembourg,Spain,Bravo,"Lady, Lady",106,3rd,3K0rUw4z0khdNg4MiSIHB4,0.6679999999999999,0.716,2.0,-8.898,1.0,0.0344,0.154,1.62e-05,0.669,0.606,130.815,208053.0,4.0
846,5,1984,Luxembourg,Norway,Dollie de Luxe,Lenge Leve Livet,29,17th,30c8ivbhrT72iIl12Qj5wa,0.37200000000000005,0.65,0.0,-7.234,1.0,0.0373,0.012,0.0,0.215,0.309,137.118,190380.0,4.0
847,6,1984,Luxembourg,United Kingdom,Belle and the Devotions,Love Games,63,7th,,,,,,,,,,,,,,
848,7,1984,Luxembourg,Cyprus,Andy Paul,Anna Mari-elena,31,15th,,,,,,,,,,,,,,
849,8,1984,Luxembourg,Belgium,Jacques Zegers,Avanti La Vie,70,5th,2s0NUFo02OS4aOMBmjczQg,0.45799999999999996,0.478,9.0,-10.783,1.0,0.0328,0.381,9.42e-06,0.0912,0.649,168.5,173387.0,4.0
850,9,1984,Luxembourg,Ireland,Linda Martin,Terminal '3',137,2nd,,,,,,,,,,,,,,
851,10,1984,Luxembourg,Denmark,Hot Eyes,Det' Lige Det,101,4th,,,,,,,,,,,,,,
852,11,1984,Luxembourg,The Netherlands,Maribelle,Ik Hou Van Jou,34,13th,5DeSdxlppND4LAS2OPK9sv,0.32899999999999996,0.285,2.0,-9.093,1.0,0.0277,0.82,0.00048499999999999997,0.114,0.127,85.711,184347.0,4.0
853,12,1984,Luxembourg,Yugoslavia,Vlado and Isolda,Ciao Amore,26,18th,,,,,,,,,,,,,,
854,13,1984,Luxembourg,Austria,Anita,Einfach Weg,5,19th,,,,,,,,,,,,,,
855,14,1984,Luxembourg,Germany,Mary Roos,Aufrecht Geh'n,34,13th,3StkH3LklHrkvDFEbn5k9g,0.573,0.695,5.0,-5.417999999999999,1.0,0.0245,0.47700000000000004,0.0,0.121,0.589,80.333,185293.0,4.0
856,15,1984,Luxembourg,Turkey,"Bes Yil Önce, On Yil Sonra",Halay,37,12th,,,,,,,,,,,,,,
857,16,1984,Luxembourg,Finland,Kirka,Hengaillaan,46,9th,1yd8Y1K3dtaeq4T6y87Lun,0.727,0.691,6.0,-10.991,1.0,0.0335,0.152,3.37e-06,0.364,0.963,125.73100000000001,160267.0,4.0
858,17,1984,Luxembourg,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,30,16th,,,,,,,,,,,,,,
859,18,1984,Luxembourg,Italy,Alice and Battiato,I Treni Di Tozeur,70,5th,,,,,,,,,,,,,,
860,19,1984,Luxembourg,Portugal,Maria Guinot,Silêncio E Tanta Gente,38,11th,,,,,,,,,,,,,,
861,1,1983,Munich,France,Guy Bonnet,Vivre,56,8th,,,,,,,,,,,,,,
862,2,1983,Munich,Norway,Jahn Teigen,Do Re Mi,53,9th,,,,,,,,,,,,,,
863,3,1983,Munich,United Kingdom,Sweet Dreams,I'm Never Giving Up,79,6th,,,,,,,,,,,,,,
864,4,1983,Munich,Sweden,Carola Häggkvist,Främling,126,3rd,,,,,,,,,,,,,,
865,5,1983,Munich,Italy,Riccardo Fogli,Per Lucia,41,11th,4ugTEPt6yJA38DKqlVTkcU,0.621,0.512,9.0,-10.162,0.0,0.0273,0.578,0.0,0.162,0.6679999999999999,107.925,197787.0,4.0
866,6,1983,Munich,Turkey,Çetin Alp and the Short Wave,Opera,—,19th,,,,,,,,,,,,,,
867,7,1983,Munich,Spain,Remedios Amaya,¿quién Maneja Mi Barca?,—,19th,0TWaqxvioVlbLIa1mGIN1z,0.752,0.847,1.0,-8.757,1.0,0.0631,0.233,0.0,0.141,0.961,143.583,227840.0,4.0
868,8,1983,Munich,Switzerland,Mariella Farré,Io Così Non Ci Sto,28,15th,,,,,,,,,,,,,,
869,9,1983,Munich,Finland,Ami Aspelund,Fantasiaa,41,11th,,,,,,,,,,,,,,
870,10,1983,Munich,Greece,Christie Stassinopoulou,Mou Les,32,14th,,,,,,,,,,,,,,
871,11,1983,Munich,The Netherlands,Bernadette,Sing Me A Song,66,7th,,,,,,,,,,,,,,
872,12,1983,Munich,Yugoslavia,Danijel,Dzuli,125,4th,,,,,,,,,,,,,,
873,13,1983,Munich,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,26,16th,,,,,,,,,,,,,,
874,14,1983,Munich,Germany,Hoffmann und Hoffmann,Rücksicht,94,5th,,,,,,,,,,,,,,
875,15,1983,Munich,Denmark,Gry Johansen,Kloden Drejer,16,17th,,,,,,,,,,,,,,
876,16,1983,Munich,Israel,Ofra Haza,Hi,136,2nd,,,,,,,,,,,,,,
877,17,1983,Munich,Portugal,Armando Gama,Esta Balada Que Te Dou,33,13th,717ng7bkRhm36YIE8FLZdY,0.531,0.327,4.0,-14.110999999999999,1.0,0.0331,0.7879999999999999,0.00115,0.0857,0.196,143.988,224533.0,4.0
878,18,1983,Munich,Austria,Westend,Hurricane,53,9th,,,,,,,,,,,,,,
879,19,1983,Munich,Belgium,Pas de Deux,Rendez-vous,13,18th,,,,,,,,,,,,,,
880,20,1983,Munich,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,142,1st,0vBkS0Cv9TAqgkaUIrnuXx,0.502,0.49200000000000005,4.0,-12.797,0.0,0.0293,0.401,0.00107,0.272,0.321,139.451,191027.0,4.0
881,1,1982,Harrogate,Portugal,Doce,Bem-bom,32,13th,2FWghMgjItyOsuip0JKmvN,0.667,0.382,2.0,-15.684000000000001,1.0,0.0541,0.0949,7.69e-06,0.0682,0.7440000000000001,105.865,155827.0,4.0
882,2,1982,Harrogate,Luxembourg,Svetlana,Cour Apres Le Temps,78,6th,7rAPFZ0pSBAurIHK21yAf6,0.659,0.39799999999999996,0.0,-13.046,1.0,0.0361,0.816,6.790000000000001e-05,0.26899999999999996,0.508,118.477,203918.0,4.0
